,trips_in_first_30_days,avg_rating_of_driver,avg_surge,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,city_King's Landing,city_Winterfell,phone_iPhone,retained
0,4,4.7,1.1,15.4,True,46.2,3.67,5.0,1,0,1,True
1,0,5.0,1.0,0.0,False,50.0,8.26,5.0,0,0,0,False
2,3,4.3,1.0,0.0,False,100.0,0.77,5.0,0,0,1,False
3,9,4.6,1.14,20.0,True,80.0,2.36,4.9,1,0,1,True
4,14,4.4,1.19,11.8,False,82.4,3.13,4.9,0,1,0,False
5,2,3.5,1.0,0.0,True,100.0,10.56,5.0,0,1,1,True
6,1,4.630592804279383,1.0,0.0,False,100.0,3.95,4.0,0,0,0,False
7,2,5.0,1.0,0.0,False,100.0,2.04,5.0,0,1,1,False
8,2,4.5,1.0,0.0,False,100.0,4.36,5.0,0,1,0,False
9,1,4.630592804279383,1.0,0.0,False,0.0,2.37,5.0,0,1,0,False
10,1,5.0,1.0,0.0,True,100.0,4.28,4.9,0,1,1,False
11,3,4.0,1.0,0.0,False,100.0,3.81,5.0,0,1,1,False
12,1,4.630592804279383,1.0,0.0,False,100.0,20.29,5.0,0,1,1,False
13,0,4.0,1.38,50.0,False,50.0,3.04,5.0,1,0,1,True
14,1,4.630592804279383,1.0,0.0,False,100.0,26.01,5.0,0,0,0,False
15,1,4.630592804279383,1.0,0.0,True,100.0,13.2,5.0,0,1,0,False
16,1,5.0,1.0,0.0,True,50.0,10.86,3.0,1,0,0,True
17,0,3.9,1.0,0.0,True,95.2,2.38,4.8,1,0,1,True
18,6,4.6,1.21,30.8,True,80.8,6.83,4.8,1,0,1,True
19,0,5.0,1.17,33.3,False,66.7,12.08,5.0,1,0,1,True
20,1,4.630592804279383,1.0,0.0,False,50.0,2.53,3.0,0,1,0,False
21,1,4.630592804279383,1.0,0.0,False,100.0,3.31,5.0,0,0,1,False
22,0,4.630592804279383,1.0,0.0,False,100.0,11.47,5.0,0,1,1,False
23,0,5.0,1.0,0.0,True,100.0,7.74,5.0,1,0,0,True
24,4,4.5,1.02,9.1,False,36.4,2.1,4.7,0,0,1,False
25,1,4.630592804279383,1.0,0.0,True,100.0,14.48,5.0,0,1,1,False
26,1,4.0,1.0,0.0,False,100.0,1.66,5.0,0,0,0,False
27,3,5.0,1.05,20.0,False,100.0,3.05,5.0,0,1,1,False
28,0,4.630592804279383,1.5,100.0,False,0.0,5.97,5.0,0,1,1,True
29,1,4.0,1.0,0.0,False,100.0,11.25,5.0,0,0,0,False
30,4,5.0,1.0,0.0,True,25.0,6.12,4.8,0,0,1,False
31,1,4.9,1.0,0.0,False,40.0,11.86,5.0,0,1,1,True
32,1,4.0,2.0,100.0,False,100.0,10.01,5.0,0,1,1,True
33,1,4.630592804279383,1.0,0.0,True,100.0,4.48,5.0,0,1,1,False
34,1,4.630592804279383,1.25,100.0,False,100.0,4.12,5.0,0,0,0,False
35,2,5.0,1.0,0.0,False,100.0,14.16,5.0,1,0,0,False
36,2,4.630592804279383,1.0,0.0,False,50.0,2.43,4.5,0,0,1,True
37,0,4.0,1.0,0.0,False,50.0,1.38,5.0,0,0,1,False
38,24,4.9,1.04,5.8,True,61.6,4.69,4.8,1,0,1,True
39,1,4.630592804279383,1.0,0.0,True,100.0,13.73,5.0,1,0,1,True
40,2,4.0,1.0,0.0,False,50.0,0.83,5.0,0,1,1,False
41,0,4.0,1.88,50.0,False,0.0,3.8,5.0,0,1,1,False
42,1,4.0,1.5,100.0,False,0.0,5.72,5.0,0,1,0,False
43,1,4.5,1.0,0.0,False,50.0,16.52,5.0,0,1,1,False
44,2,5.0,1.0,0.0,True,66.7,1.4,5.0,1,0,1,True
45,3,4.0,1.0,0.0,False,50.0,3.0,4.2,0,0,0,False
46,6,5.0,1.33,33.3,False,100.0,2.93,5.0,0,0,1,False
