	Demographic ID	Demographic Name	Student Group	County Code	District Code	School Code	Grade	Percentage Standard Exceeded	Percentage Standard Met	Percentage Standard Nearly Met	Percentage Standard Not Met	Total Number of Students with Valid Scores	Life Sciences Domain Percent Below Standard	Life Sciences Domain Percent Near Standard	Life Sciences Domain Percent Above Standard	Physical Sciences Domain Percent Below Standard	Physical Sciences Domain Percent Near Standard	Physical Sciences Domain Percent Above Standard	Earth and Space Sciences Domain Percent Below Standard	Earth and Space Sciences Domain Percent Near Standard	Earth and Space Sciences Domain Percent Above Standard	County Name	District Name	School Name	Zip Code	Median
0	1	All Students	All Students	2	61333	6002794	5	9.09	18.18	63.64	9.09	11.0	54.55	36.36	9.09	36.36	54.55	9.09	36.36	63.64	0.0	Alpine	Alpine County Unified	Diamond Valley Elementary	96120	3042249.5
2	1	All Students	All Students	2	61333	6002794	13	9.52	33.33	52.38	4.76	21.0	42.86	42.86	14.29	28.57	57.14	14.29	33.33	42.86	23.81	Alpine	Alpine County Unified	Diamond Valley Elementary	96120	3042249.5
10	1	All Students	All Students	6	61622	118729	5	0.94	10.38	55.66	33.02	106.0	67.92	31.13	0.94	64.76	34.29	0.95	62.26	35.85	1.89	Colusa	Williams Unified	Williams Upper Elementary	95987	692087.0
11	1	All Students	All Students	6	61622	118729	13	0.94	10.38	55.66	33.02	106.0	67.92	31.13	0.94	64.76	34.29	0.95	62.26	35.85	1.89	Colusa	Williams Unified	Williams Upper Elementary	95987	692087.0
15	1	All Students	All Students	6	61622	637504	8	0.0	3.96	45.54	50.5	101.0	71.58	28.42	0.0	77.66	22.34	0.0	75.82	24.18	0.0	Colusa	Williams Unified	Williams Junior/Senior High	95987	692087.0
16	1	All Students	All Students	6	61622	637504	10	0.0	3.3	75.82	20.88	91.0	51.69	47.19	1.12	59.55	39.33	1.12	51.69	47.19	1.12	Colusa	Williams Unified	Williams Junior/Senior High	95987	692087.0
17	1	All Students	All Students	6	61622	637504	12	0.0	7.14	55.71	37.14	70.0	56.72	43.28	0.0	64.18	34.33	1.49	68.66	28.36	2.99	Colusa	Williams Unified	Williams Junior/Senior High	95987	692087.0
18	1	All Students	All Students	6	61622	637504	13	0.0	4.58	58.78	36.64	262.0	60.56	39.04	0.4	67.6	31.6	0.8	65.18	33.6	1.21	Colusa	Williams Unified	Williams Junior/Senior High	95987	692087.0
19	1	All Students	All Students	9	61903	110155	5	23.33	28.33	40.0	8.33	60.0	21.67	60.0	18.33	31.67	36.67	31.67	23.33	56.67	20.0	El Dorado	Lake Tahoe Unified	Lake Tahoe Environmental Science Magnet	96150	1373866.5
20	1	All Students	All Students	9	61903	110155	13	23.33	28.33	40.0	8.33	60.0	21.67	60.0	18.33	31.67	36.67	31.67	23.33	56.67	20.0	El Dorado	Lake Tahoe Unified	Lake Tahoe Environmental Science Magnet	96150	1373866.5
22	1	All Students	All Students	9	61903	930040	12	0.0	8.7	69.57	21.74	23.0	65.22	30.43	4.35	86.96	13.04	0.0	56.52	43.48	0.0	El Dorado	Lake Tahoe Unified	Mt. Tallac High	96150	1373866.5
23	1	All Students	All Students	9	61903	930040	13	0.0	8.33	70.83	20.83	24.0	62.5	33.33	4.17	87.5	12.5	0.0	54.17	45.83	0.0	El Dorado	Lake Tahoe Unified	Mt. Tallac High	96150	1373866.5
24	1	All Students	All Students	9	61903	937805	10	2.53	20.22	55.6	21.66	277.0	44.04	50.54	5.42	62.45	32.13	5.42	47.65	44.04	8.3	El Dorado	Lake Tahoe Unified	South Tahoe High	96150	1373866.5
25	1	All Students	All Students	9	61903	937805	12	5.95	16.76	59.46	17.84	185.0	43.78	49.19	7.03	54.05	38.92	7.03	48.11	44.86	7.03	El Dorado	Lake Tahoe Unified	South Tahoe High	96150	1373866.5
